pid|price_tier|tags
900001|luxury|hot-weather;humid-safe;casual;understated
900002|luxury|classic;hot-weather;office-safe;clean;travel-friendly;humid-safe;understated;mature-elegant;formal
900003|budget|hot-weather;casual;sporty;humid-safe;office-safe
900004|budget|party;evening;cold-weather;compliment-getter;youthful;date-night
900005|budget|versatile;office-safe;modern
900006|budget|office-safe;clean;hot-weather;understated
900007|budget|beast-mode;compliment-getter;versatile;modern;statement
900008|budget|versatile;office-safe;casual;blind-buy-safe
900009|mid|hot-weather;casual;crowd-pleaser;versatile
900010|mid|office-safe;clean;versatile;casual
900011|mid|beast-mode;compliment-getter;party;statement;versatile
900012|mid|statement;compliment-getter;evening;modern
900013|mid|cold-weather;cosy;evening;statement
900014|mid|casual;versatile;office-safe;hot-weather
900015|mid|versatile;casual;youthful;blind-buy-safe
900016|mid|versatile;office-safe;casual
900017|niche|cold-weather;evening;mature-elegant;statement;sensual
900018|niche|mature-elegant;formal;evening;statement;classic;beast-mode
900019|niche|compliment-getter;cold-weather;date-night;cosy;modern
900020|niche|beast-mode;cold-weather;statement;evening;polarizing;formal
900021|niche|cold-weather;evening;mature-elegant;statement
900022|niche|cold-weather;evening;formal;statement;mature-elegant
900023|niche|office-safe;versatile;mature-elegant;clean;formal
900024|budget|hot-weather;casual;sporty;youthful
900025|budget|hot-weather;casual;office-safe;blind-buy-safe
900026|budget|cold-weather;casual;crowd-pleaser
900027|budget|casual;crowd-pleaser;youthful
900028|budget|classic;beast-mode;cold-weather;mature-elegant;statement
900029|budget|youthful;casual;pink-coded;cosy;crowd-pleaser
900030|budget|youthful;cosy;crowd-pleaser;casual;blind-buy-safe;compliment-getter
900031|budget|cosy;cold-weather;youthful;crowd-pleaser
900032|budget|youthful;pink-coded;hot-weather;casual
900033|budget|youthful;casual;office-safe;pink-coded
900034|budget|modern;youthful;versatile;casual
900035|budget|cosy;skin-scent;casual;cold-weather
900036|budget|youthful;cosy;evening;cold-weather
900037|budget|cosy;youthful;casual;crowd-pleaser
900038|budget|pink-coded;youthful;casual;crowd-pleaser
900039|budget|pink-coded;youthful;casual;hot-weather
900040|budget|versatile;office-safe;compliment-getter;blind-buy-safe;modern
900041|budget|beast-mode;party;compliment-getter;versatile;statement;modern
900042|budget|versatile;compliment-getter;office-safe;date-night
900043|budget|hot-weather;humid-safe;casual;clean;office-safe
900044|budget|compliment-getter;modern;versatile
900045|budget|office-safe;versatile;casual;clean
900046|budget|beast-mode;versatile;compliment-getter;modern
900047|niche|hot-weather;casual;youthful;crowd-pleaser;humid-safe;travel-friendly;office-safe
900048|mid|classic;mature-elegant;office-safe;versatile;cold-weather;formal;clean
900049|mid|cold-weather;date-night;compliment-getter;evening;party
900050|mid|cold-weather;evening;date-night;compliment-getter;youthful
900051|mid|versatile;casual;office-safe;youthful;crowd-pleaser
900052|mid|cold-weather;evening;date-night;compliment-getter;cosy
900053|budget|youthful;crowd-pleaser;evening;cosy
900054|budget|youthful;casual;crowd-pleaser
900055|budget|cosy;cold-weather;youthful;skin-scent
900056|budget|modern;versatile;casual
900057|budget|casual;versatile;youthful
900058|budget|youthful;casual;pink-coded;party
900059|budget|romantic;casual;youthful
900060|budget|pink-coded;youthful;party;casual;polarizing
900061|budget|cosy;cold-weather;casual;evening
900062|budget|party;evening;youthful;date-night
900063|budget|cosy;youthful;casual;cold-weather
900064|budget|romantic;evening;date-night
900065|budget|cosy;office-safe;cold-weather;understated;blind-buy-safe
900066|budget|cosy;cold-weather;compliment-getter;crowd-pleaser;date-night
900067|mid|youthful;casual;compliment-getter;pink-coded;crowd-pleaser;party;versatile;blind-buy-safe
900068|budget|office-safe;versatile;understated;casual;modern
900069|budget|cold-weather;cosy;office-safe;blind-buy-safe;classic
900070|budget|office-safe;mature-elegant;understated;versatile
900071|mid|hot-weather;humid-safe;sporty;casual;office-safe;clean
900072|mid|office-safe;clean;hot-weather;understated;humid-safe;classic
900073|mid|evening;cold-weather;cosy;sensual;date-night;statement
900074|niche|versatile;office-safe;casual;crowd-pleaser
900075|niche|cosy;understated;cold-weather;office-safe
900076|niche|clean;office-safe;understated;modern;hot-weather
900077|niche|polarizing;modern;casual
900078|niche|casual;office-safe;versatile;understated;travel-friendly;clean
900079|niche|office-safe;skin-scent;understated;clean;modern;versatile
900080|niche|office-safe;modern;clean;understated;pink-coded;versatile
900081|niche|understated;office-safe;skin-scent;clean;casual
900082|budget|pink-coded;romantic;youthful;date-night;casual;compliment-getter
900083|budget|classic;clean;romantic;office-safe;understated;mature-elegant;wedding
900084|budget|hot-weather;casual;clean;classic;blind-buy-safe;versatile;travel-friendly;office-safe
900085|budget|evening;sensual;cold-weather;date-night;statement
900086|budget|classic;cold-weather;evening;beast-mode;cosy
